"","work","dimension","population_size","max_gens","PKG","seconds","generations","diff_fitness","evaluations","initial_temp_1","initial_temp_2","initial_temp","color","base","shape","size","cum_seconds","run","power"
"1192","base-europar-test-2",5,200,25,649.57,7.96076587,NA,0,NA,46.9,59,52.95,"blue",TRUE,22,3,3979.14864882,"B",81.5964205715298
"1193","europar-test-2",5,200,25,890.91,11.10918372,66,0.188516999999997,122251,42.2,36.2,39.2,"red",FALSE,22,4,3990.25783254,"W",80.1958111824259
"1194","base-europar-test-2",5,200,25,416.93,7.31221417,NA,0,NA,48.5,39.4,43.95,"blue",TRUE,22,3,3997.57004671,"B",57.018297099468
"1195","europar-test-2",5,200,25,503.03,9.62096717,36,0.112749999999998,67179,34.2,33,33.6,"red",FALSE,22,4,4007.19101388,"W",52.2847642146148
"1196","base-europar-test-2",5,200,25,474.4,7.53417087,NA,0,NA,43.2,36.9,40.05,"blue",TRUE,22,3,4014.72518475,"B",62.9664508790202
"1197","europar-test-2",5,200,25,640.86,10.20085791,71,0.136187999999997,131685,38.9,33,35.95,"red",FALSE,22,4,4024.92604266,"W",62.8241277012357
"1198","base-europar-test-2",5,200,25,425.25,7.29328812,NA,0,NA,50.1,37.2,43.65,"blue",TRUE,22,3,4032.21933078,"B",58.3070342214864
"1199","europar-test-2",5,200,25,495.61,9.60086221,37,0.281039,68911,46.2,33.2,39.7,"red",FALSE,22,4,4041.82019299,"W",51.621405365425
"1200","base-europar-test-2",5,200,25,362.44,7.05176015,NA,0,NA,41,33,37,"blue",TRUE,22,3,4048.87195314,"B",51.3970969361458
"1201","europar-test-2",5,200,25,480.34,9.44484494,30,0.257601999999999,55813,38.6,33.2,35.9,"red",FALSE,22,4,4058.31679808,"W",50.8573727839305
"1202","base-europar-test-2",5,200,25,356.85,6.96207583,NA,0,NA,36.4,31.5,33.95,"blue",TRUE,22,3,4065.27887391,"B",51.2562644696158
"1203","europar-test-2",5,200,25,627.81,10.10268886,61,0.242443000000002,113318,36.1,33,34.55,"red",FALSE,22,4,4075.38156277,"W",62.1428620340585
"1204","base-europar-test-2",5,200,25,365.17,7.06815593,NA,0,NA,35.4,32.5,33.95,"blue",TRUE,22,3,4082.4497187,"B",51.6641120564526
"1205","europar-test-2",5,200,25,559.16,9.74302636,32,0.162396999999999,59483,36.4,32.5,34.45,"red",FALSE,22,4,4092.19274506,"W",57.3907920741785
"1206","base-europar-test-2",5,200,25,448.14,7.34275641,NA,0,NA,41.8,45.1,43.45,"blue",TRUE,22,3,4099.53550147,"B",61.0315765602253
"1207","europar-test-2",5,200,25,475.87,9.48986046,86,0.0369770000000003,159421,35.9,32.5,34.2,"red",FALSE,22,4,4109.02536193,"W",50.1450998153033
"1208","base-europar-test-2",5,200,25,392.3,7.16165989,NA,0,NA,42.8,32.8,37.8,"blue",TRUE,22,3,4116.18702182,"B",54.7778037529788
"1209","europar-test-2",5,200,25,507.83,9.55959847,32,0.266145999999999,59575,35,32.5,33.75,"red",FALSE,22,4,4125.74662029,"W",53.1225240886085
"1210","base-europar-test-2",5,200,25,393.47,7.18931446,NA,0,NA,39.9,32.8,36.35,"blue",TRUE,22,3,4132.93593475,"B",54.7298358124677
"1211","europar-test-2",5,200,25,504.48,9.55216057,52,0.0647930000000017,96795,49,33.8,41.4,"red",FALSE,22,4,4142.48809532,"W",52.8131825572945
"1212","base-europar-test-2",5,200,25,457.33,7.45240169,NA,0,NA,37.4,43.5,40.45,"blue",TRUE,22,3,4149.94049701,"B",61.366794091852
"1213","europar-test-2",5,200,25,690.94,10.43232774,71,0.128828999999996,131489,42.5,33,37.75,"red",FALSE,22,4,4160.37282475,"W",66.2306646435937
"1214","base-europar-test-2",5,200,25,402.28,7.35594131,NA,0,NA,43.2,39.8,41.5,"blue",TRUE,22,3,4167.72876606,"B",54.6877663981797
"1215","europar-test-2",5,200,25,766.54,10.78796107,54,0.103335999999999,100098,44.8,41.9,43.35,"red",FALSE,22,4,4178.51672713,"W",71.05513220025
"1216","base-europar-test-2",5,200,25,456.51,7.55390251,NA,0,NA,37.9,33.9,35.9,"blue",TRUE,22,3,4186.07062964,"B",60.4336631821318
"1217","europar-test-2",5,200,25,684.27,10.60726084,39,0.244727999999995,72649,41,36.6,38.8,"red",FALSE,22,4,4196.67789048,"W",64.5095854925728
"1218","base-europar-test-2",5,200,25,650.04,8.22791688,NA,0,NA,46.8,36.5,41.65,"blue",TRUE,22,3,4204.90580736,"B",79.0042011216817
"1219","europar-test-2",5,200,25,716.04,10.45988177,60,0.101542999999999,111306,43,37.2,40.1,"red",FALSE,22,4,4215.36568913,"W",68.455840682031
"1220","base-europar-test-2",5,200,25,336.14,6.95288347,NA,0,NA,35.6,33,34.3,"blue",TRUE,22,3,4222.3185726,"B",48.3454097066868
"1221","base-europar-test-2",3,400,10,363.06,7.09329644,NA,0,NA,35.9,32.5,34.2,"blue",TRUE,23,3,4229.41186904,"B",51.1835368888093
"1222","europar-test-2",3,400,10,628.79,10.09831485,46,0.000248999999996613,168078,35.4,32.5,33.95,"red",FALSE,23,4,4239.51018389,"W",62.2668246474807
"1223","base-europar-test-2",3,400,10,387.1,7.16077705,NA,0,NA,40.4,37.5,38.95,"blue",TRUE,23,3,4246.67096094,"B",54.0583790414198
"1224","europar-test-2",3,400,10,570.19,9.80362656,15,0.00017700000000076,55601,36.6,33,34.8,"red",FALSE,23,4,4256.4745875,"W",58.1611301195871
"1225","base-europar-test-2",3,400,10,410.86,7.23909684,NA,0,NA,46.2,35.4,40.8,"blue",TRUE,23,3,4263.71368434,"B",56.755698822783
"1226","europar-test-2",3,400,10,485.41,9.50228111,23,0.000821999999999434,84812,47.1,42.2,44.65,"red",FALSE,23,4,4273.21596545,"W",51.0835234593475
"1227","base-europar-test-2",3,400,10,472.52,7.42556531,NA,0,NA,37.9,33.8,35.85,"blue",TRUE,23,3,4280.64153076,"B",63.6342123829492
"1228","europar-test-2",3,400,10,451.22,9.40461762,26,0.000313999999995929,95623,38.1,33.5,35.8,"red",FALSE,23,4,4290.04614838,"W",47.9785588560697
"1229","base-europar-test-2",3,400,10,397.7,7.20624541,NA,0,NA,43.2,32.2,37.7,"blue",TRUE,23,3,4297.25239379,"B",55.1882398354235
"1230","europar-test-2",3,400,10,507.43,9.57776106,35,0.000402999999998599,128455,35.2,32.5,33.85,"red",FALSE,23,4,4306.83015485,"W",52.9800228697708
"1231","base-europar-test-2",3,400,10,411.98,7.2754653,NA,0,NA,34.5,32.5,33.5,"blue",TRUE,23,3,4314.10562015,"B",56.6259315400762
"1232","europar-test-2",3,400,10,447.85,9.44337695,23,8.89999999955648e-05,84631,55.8,46.1,50.95,"red",FALSE,23,4,4323.5489971,"W",47.424772130906
"1233","base-europar-test-2",3,400,10,334.41,6.96602006,NA,0,NA,46.6,32.5,39.55,"blue",TRUE,23,3,4330.51501716,"B",48.0058910424671
"1234","europar-test-2",3,400,10,443.1,9.36322136,19,0.000762999999999181,70115,37.9,32.5,35.2,"red",FALSE,23,4,4339.87823852,"W",47.3234566356551
"1235","base-europar-test-2",3,400,10,328.55,6.95797192,NA,0,NA,39.1,34.4,36.75,"blue",TRUE,23,3,4346.83621044,"B",47.2192190163366
"1236","europar-test-2",3,400,10,454.89,9.41345846,20,0.00207400000000035,73780,40.8,32,36.4,"red",FALSE,23,4,4356.2496689,"W",48.3233661605811
"1237","base-europar-test-2",3,400,10,341.66,6.96981445,NA,0,NA,34.5,31,32.75,"blue",TRUE,23,3,4363.21948335,"B",49.0199563347056
"1238","europar-test-2",3,400,10,433.01,9.33216619,45,0.000872999999998569,164758,33.5,31.5,32.5,"red",FALSE,23,4,4372.55164954,"W",46.3997309074925
"1239","base-europar-test-2",3,400,10,318.32,6.92754875,NA,0,NA,41.2,31.2,36.2,"blue",TRUE,23,3,4379.47919829,"B",45.9498751271869
"1240","europar-test-2",3,400,10,429.42,9.33496816,26,0.00112599999999929,95613,36.4,31.2,33.8,"red",FALSE,23,4,4388.81416645,"W",46.0012281391649
"1241","base-europar-test-2",3,400,10,323.72,6.91425779,NA,0,NA,33,30.5,31.75,"blue",TRUE,23,3,4395.72842424,"B",46.8191973501757
"1242","europar-test-2",3,400,10,434.28,9.31301995,14,0.00460899999999498,51989,40.2,30.9,35.55,"red",FALSE,23,4,4405.04144419,"W",46.6314903577545
"1243","base-europar-test-2",3,400,10,340.02,6.95727811,NA,0,NA,32.8,30.5,31.65,"blue",TRUE,23,3,4411.9987223,"B",48.8725611688966
"1244","europar-test-2",3,400,10,467.15,9.38581852,24,0.00213999999999714,88307,34.9,33.9,34.4,"red",FALSE,23,4,4421.38454082,"W",49.7718977843607
"1245","base-europar-test-2",3,400,10,373.03,7.0174741,NA,0,NA,34.8,31,32.9,"blue",TRUE,23,3,4428.40201492,"B",53.157303423464
"1246","europar-test-2",3,400,10,489.34,9.50290209,30,0.000104999999997801,110331,34,31.5,32.75,"red",FALSE,23,4,4437.90491701,"W",51.493743212922
"1247","base-europar-test-2",3,400,10,335.9,6.96319836,NA,0,NA,34.5,32,33.25,"blue",TRUE,23,3,4444.86811537,"B",48.2393266188671
"1248","europar-test-2",3,400,10,480.88,9.50775014,20,0.00244099999999747,73742,34,31.5,32.75,"red",FALSE,23,4,4454.37586551,"W",50.577685879322
"1249","base-europar-test-2",3,400,10,329.16,6.96768159,NA,0,NA,35.2,30.5,32.85,"blue",TRUE,23,3,4461.3435471,"B",47.240964695116
"1250","europar-test-2",3,400,10,446.06,9.34956943,17,0.00171999999999883,62746,42.2,33.2,37.7,"red",FALSE,23,4,4470.69311653,"W",47.7091488907206
"1251","base-europar-test-2",3,400,10,321.94,6.90595355,NA,0,NA,33.5,31.5,32.5,"blue",TRUE,23,3,4477.59907008,"B",46.61774766788
"1252","europar-test-2",3,400,10,449.02,9.38771877,28,0.00202000000000169,102737,32,31.5,31.75,"red",FALSE,23,4,4486.98678885,"W",47.8305764159571
"1253","base-europar-test-2",3,400,10,324.24,6.97285106,NA,0,NA,34.2,31.5,32.85,"blue",TRUE,23,3,4493.95963991,"B",46.5003478792217
"1254","europar-test-2",3,400,10,436.87,9.33708618,12,0.000171000000001698,44897,34.4,31,32.7,"red",FALSE,23,4,4503.29672609,"W",46.7886867035429
"1255","base-europar-test-2",3,400,10,383.61,7.13621074,NA,0,NA,33,31.5,32.25,"blue",TRUE,23,3,4510.43293683,"B",53.7554192240685
"1256","europar-test-2",3,400,10,578.75,10.00001188,29,0.00151100000000071,106737,38.6,35.6,37.1,"red",FALSE,23,4,4520.43294871,"W",57.8749312445817
"1257","base-europar-test-2",3,400,10,387.83,7.16643863,NA,0,NA,36.1,32.5,34.3,"blue",TRUE,23,3,4527.59938734,"B",54.1175359231395
"1258","europar-test-2",3,400,10,523.43,9.6620496,24,0.00131299999999612,88350,40.2,33.8,37,"red",FALSE,23,4,4537.26143694,"W",54.1738059386489
"1259","base-europar-test-2",3,400,10,331.89,6.94105675,NA,0,NA,44.5,35.1,39.8,"blue",TRUE,23,3,4544.20249369,"B",47.815485732774
"1260","europar-test-2",3,400,10,446.45,9.39903707,36,0.00070999999999799,132072,34.2,31.5,32.85,"red",FALSE,23,4,4553.60153076,"W",47.4995466743063
"1261","base-europar-test-2",3,400,10,322.05,6.90148068,NA,0,NA,34.5,31,32.75,"blue",TRUE,23,3,4560.50301144,"B",46.6638993764451
"1262","europar-test-2",3,400,10,614.69,10.14822923,29,0.000779999999998893,106671,34,32,33,"red",FALSE,23,4,4570.65124067,"W",60.5711583832641
"1263","base-europar-test-2",3,400,10,480.37,7.57620653,NA,0,NA,46.2,39.9,43.05,"blue",TRUE,23,3,4578.2274472,"B",63.4050824905376
"1264","europar-test-2",3,400,10,416.71,9.26901327,36,5.19999999966103e-05,131801,34.5,31.5,33,"red",FALSE,23,4,4587.49646047,"W",44.9573204678344
"1265","base-europar-test-2",3,400,10,304.76,6.89484019,NA,0,NA,37.6,30.5,34.05,"blue",TRUE,23,3,4594.39130066,"B",44.2011695125308
"1266","europar-test-2",3,400,10,632.26,10.21118962,20,0.00070999999999799,73904,34.5,31,32.75,"red",FALSE,23,4,4604.60249028,"W",61.918348745736
"1267","base-europar-test-2",3,400,10,328.48,6.92279897,NA,0,NA,43.8,35.4,39.6,"blue",TRUE,23,3,4611.52528925,"B",47.4490161311155
"1268","europar-test-2",3,400,10,432.06,9.32396126,16,0.000628999999996438,59195,42.8,32.5,37.65,"red",FALSE,23,4,4620.84925051,"W",46.3386738696081
"1269","base-europar-test-2",3,400,10,325.79,6.90496012,NA,0,NA,33.8,31.5,32.65,"blue",TRUE,23,3,4627.75421063,"B",47.1820248543304
"1270","europar-test-2",3,400,10,427.46,9.28662455,14,0.00178799999999768,52083,35.4,31.1,33.25,"red",FALSE,23,4,4637.04083518,"W",46.0296416311996
"1271","base-europar-test-2",3,400,10,323.58,6.9017141,NA,0,NA,38.4,31.8,35.1,"blue",TRUE,23,3,4643.94254928,"B",46.8840052357428
"1272","europar-test-2",3,400,10,421.92,9.33159096,43,0.000397999999997012,157472,36.4,31.5,33.95,"red",FALSE,23,4,4653.27414024,"W",45.2141549933517
"1273","base-europar-test-2",3,400,10,313.5,6.89982767,NA,0,NA,44,33.2,38.6,"blue",TRUE,23,3,4660.17396791,"B",45.4359173871947
"1274","europar-test-2",3,400,10,426.88,9.26494363,24,0.000422999999997842,88457,35.4,31.5,33.45,"red",FALSE,23,4,4669.43891154,"W",46.074754153685
"1275","base-europar-test-2",3,400,10,327.51,6.91142794,NA,0,NA,36.6,40.4,38.5,"blue",TRUE,23,3,4676.35033948,"B",47.3867343829964
"1276","europar-test-2",3,400,10,434.74,9.28486914,15,0.000895999999997343,55833,33,31.5,32.25,"red",FALSE,23,4,4685.63520862,"W",46.8224154207089
"1277","base-europar-test-2",3,400,10,324.55,6.90938657,NA,0,NA,39.1,37.2,38.15,"blue",TRUE,23,3,4692.54459519,"B",46.972332017023
"1278","europar-test-2",3,400,10,437.65,9.31160993,19,0.000681000000000154,70306,33,30.5,31.75,"red",FALSE,23,4,4701.85620512,"W",47.0004653642101
"1279","base-europar-test-2",3,400,10,326,6.9570774,NA,0,NA,46.8,34.6,40.7,"blue",TRUE,23,3,4708.81328252,"B",46.8587570982033
"1280","europar-test-2",3,400,10,414.4,9.2889984,25,0.000199999999999534,92140,35.2,31.8,33.5,"red",FALSE,23,4,4718.10228092,"W",44.6119142403986
"1281","base-europar-test-2",3,400,10,314.98,6.88968021,NA,0,NA,34.5,30.5,32.5,"blue",TRUE,23,3,4724.99196113,"B",45.7176516760275
"1282","base-europar-test-2",3,400,25,324.93,6.91584059,NA,0,NA,34,31,32.5,"blue",TRUE,23,3,4731.90780172,"B",46.9834426880565
"1283","europar-test-2",3,400,25,689.01,10.40978957,50,0.000270000000000437,182924,33.8,31,32.4,"red",FALSE,23,4,4742.31759129,"W",66.1886578366252
"1284","base-europar-test-2",3,400,25,406.73,7.22319757,NA,0,NA,42.2,37,39.6,"blue",TRUE,23,3,4749.54078886,"B",56.3088571312608
"1285","europar-test-2",3,400,25,477.33,9.42456082,79,6.29999999972597e-05,288142,39.4,33,36.2,"red",FALSE,23,4,4758.96534968,"W",50.6474528751569
"1286","base-europar-test-2",3,400,25,339.32,6.99185667,NA,0,NA,33.5,31.5,32.5,"blue",TRUE,23,3,4765.95720635,"B",48.5307431223415
"1287","europar-test-2",3,400,25,472.73,9.45645932,36,1.99999999992428e-05,132050,34,31.1,32.55,"red",FALSE,23,4,4775.41366567,"W",49.9901690477531
"1288","base-europar-test-2",3,400,25,357.58,6.99616403,NA,0,NA,34,31.5,32.75,"blue",TRUE,23,3,4782.4098297,"B",51.1108656782022
"1289","europar-test-2",3,400,25,508.98,9.59310953,42,0.000181999999995242,153865,35.2,32,33.6,"red",FALSE,23,4,4792.00293923,"W",53.0568319279891
"1290","base-europar-test-2",3,400,25,544.34,7.66046434,NA,0,NA,35.4,33,34.2,"blue",TRUE,23,3,4799.66340357,"B",71.0583557131995
"1291","europar-test-2",3,400,25,480.86,9.44688759,70,4.89999999970792e-05,255539,37.9,35.9,36.9,"red",FALSE,23,4,4809.11029116,"W",50.9014207503659
"1292","base-europar-test-2",3,400,25,383.39,7.10275595,NA,0,NA,39.4,31.5,35.45,"blue",TRUE,23,3,4816.21304711,"B",53.9776394823195
"1293","europar-test-2",3,400,25,798.22,10.41534398,55,0.000161999999995999,200947,36.4,32,34.2,"red",FALSE,23,4,4826.62839109,"W",76.6388514419473
"1294","base-europar-test-2",3,400,25,651.9,8.06526121,NA,0,NA,38.9,40.1,39.5,"blue",TRUE,23,3,4834.6936523,"B",80.828132285625
"1295","europar-test-2",3,400,25,633.99,9.8632435,52,2.69999999957804e-05,189979,47.5,38.5,43,"red",FALSE,23,4,4844.5568958,"W",64.2780440328782
"1296","base-europar-test-2",3,400,25,412.26,7.20811779,NA,0,NA,41.8,35.9,38.85,"blue",TRUE,23,3,4851.76501359,"B",57.193848936811
"1297","europar-test-2",3,400,25,528.24,9.55121053,40,0.00198199999999815,146408,43.2,34.9,39.05,"red",FALSE,23,4,4861.31622412,"W",55.3060785688702
"1298","base-europar-test-2",3,400,25,373.4,7.0353019,NA,0,NA,41.2,33,37.1,"blue",TRUE,23,3,4868.35152602,"B",53.0751921250174
"1299","europar-test-2",3,400,25,545.32,9.72753548,41,0.00079799999999608,150424,34.9,31.5,33.2,"red",FALSE,23,4,4878.0790615,"W",56.0594203044737
"1300","base-europar-test-2",3,400,25,355.59,7.01149367,NA,0,NA,37.9,34.1,36,"blue",TRUE,23,3,4885.09055517,"B",50.7152992979882
"1301","europar-test-2",3,400,25,515.98,9.55127051,36,0.000706999999998459,131848,40.4,31.5,35.95,"red",FALSE,23,4,4894.64182568,"W",54.0221323916833
"1302","base-europar-test-2",3,400,25,375.72,7.05019311,NA,0,NA,41.2,33.2,37.2,"blue",TRUE,23,3,4901.69201879,"B",53.2921572697177
"1303","europar-test-2",3,400,25,462.57,9.46749539,87,0.000586999999995896,317085,34.4,31.5,32.95,"red",FALSE,23,4,4911.15951418,"W",48.8587510154573
"1304","base-europar-test-2",3,400,25,348.27,6.91521818,NA,0,NA,37.6,32,34.8,"blue",TRUE,23,3,4918.07473236,"B",50.3628361296331
"1305","europar-test-2",3,400,25,473.19,9.44269612,45,0.000453000000000259,164781,33.2,31,32.1,"red",FALSE,23,4,4927.51742848,"W",50.1117471097863
"1306","base-europar-test-2",3,400,25,418.63,7.23830534,NA,0,NA,33.5,32.5,33,"blue",TRUE,23,3,4934.75573382,"B",57.8353606729721
"1307","europar-test-2",3,400,25,518.15,9.63991311,59,0.000154999999999461,215445,33.5,31.5,32.5,"red",FALSE,23,4,4944.39564693,"W",53.7504844792112
"1308","base-europar-test-2",3,400,25,347.93,6.98809122,NA,0,NA,41,32,36.5,"blue",TRUE,23,3,4951.38373815,"B",49.788989445962
"1309","europar-test-2",3,400,25,486.72,9.46946187,59,0.00112399999999724,215733,34.5,32,33.25,"red",FALSE,23,4,4960.85320002,"W",51.39890805643
"1310","base-europar-test-2",3,400,25,422.52,7.27506963,NA,0,NA,36.4,32,34.2,"blue",TRUE,23,3,4968.12826965,"B",58.0777946451077
"1311","europar-test-2",3,400,25,525.6,9.66738125,59,0.000237999999995964,215694,35.4,32,33.7,"red",FALSE,23,4,4977.7956509,"W",54.3683947501295
"1312","base-europar-test-2",3,400,25,367.63,7.06792909,NA,0,NA,37.9,31.5,34.7,"blue",TRUE,23,3,4984.86357999,"B",52.0138212082713
"1313","europar-test-2",3,400,25,452.71,9.36586822,45,0.0001269999999991,164515,39.4,31.5,35.45,"red",FALSE,23,4,4994.22944821,"W",48.3361488082095
"1314","base-europar-test-2",3,400,25,338.07,6.97365099,NA,0,NA,35,31.5,33.25,"blue",TRUE,23,3,5001.2030992,"B",48.4781931996284
"1315","europar-test-2",3,400,25,450.36,9.36463761,70,0.000115000000000975,255720,34.5,31.5,33,"red",FALSE,23,4,5010.56773681,"W",48.0915566363278
"1316","base-europar-test-2",3,400,25,334.35,6.9469032,NA,0,NA,35.4,31,33.2,"blue",TRUE,23,3,5017.51464001,"B",48.1293592805496
"1317","europar-test-2",3,400,25,449.56,9.33758678,53,0.00121599999999944,193750,39.1,30.5,34.8,"red",FALSE,23,4,5026.85222679,"W",48.1452018162663
"1318","base-europar-test-2",3,400,25,417.62,7.26462356,NA,0,NA,34.8,30.5,32.65,"blue",TRUE,23,3,5034.11685035,"B",57.4868052763907
"1319","europar-test-2",3,400,25,747,10.49469939,72,0.000445999999996616,262631,43.5,32.8,38.15,"red",FALSE,23,4,5044.61154974,"W",71.1787896194328
"1320","base-europar-test-2",3,400,25,504.98,7.54679311,NA,0,NA,42.2,35.9,39.05,"blue",TRUE,23,3,5052.15834285,"B",66.9131898330256
"1321","europar-test-2",3,400,25,612.08,10.11287515,68,0.000279999999996505,248604,33.5,32,32.75,"red",FALSE,23,4,5062.271218,"W",60.5248251284898
"1322","base-europar-test-2",3,400,25,379.82,7.21121796,NA,0,NA,38.1,33.2,35.65,"blue",TRUE,23,3,5069.48243596,"B",52.6707141715628
"1323","europar-test-2",3,400,25,592.12,9.97987369,57,0.000155999999996936,208322,39.1,32.5,35.8,"red",FALSE,23,4,5079.46230965,"W",59.3314122395471
"1324","base-europar-test-2",3,400,25,313.37,6.89118636,NA,0,NA,42,43.8,42.9,"blue",TRUE,23,3,5086.35349601,"B",45.4740277840926
"1325","europar-test-2",3,400,25,444.28,9.34437701,35,0.000437999999995498,128357,43.2,32.5,37.85,"red",FALSE,23,4,5095.69787302,"W",47.5451706972598
"1326","base-europar-test-2",3,400,25,357.88,7.06027157,NA,0,NA,39.4,34.6,37,"blue",TRUE,23,3,5102.75814459,"B",50.6892683166294
"1327","europar-test-2",3,400,25,832.81,10.97959683,45,0.000129000000001156,164584,39.4,36.9,38.15,"red",FALSE,23,4,5113.73774142,"W",75.8506904119174
"1328","base-europar-test-2",3,400,25,416.54,7.24838344,NA,0,NA,45.9,38.5,42.2,"blue",TRUE,23,3,5120.98612486,"B",57.46660665071
"1329","europar-test-2",3,400,25,506.91,9.628276,89,0.000271999999995387,324547,41.5,32.8,37.15,"red",FALSE,23,4,5130.61440086,"W",52.6480545426824
"1330","base-europar-test-2",3,400,25,463.21,7.46311329,NA,0,NA,39.4,35.6,37.5,"blue",TRUE,23,3,5138.07751415,"B",62.0665909789506
"1331","europar-test-2",3,400,25,674.79,10.2602741,83,0.000208999999998127,303058,39.4,36.4,37.9,"red",FALSE,23,4,5148.33778825,"W",65.7672488496189
"1332","base-europar-test-2",3,400,25,606.49,8.08662212,NA,0,NA,34,33,33.5,"blue",TRUE,23,3,5156.42441037,"B",74.9991765412182
"1333","europar-test-2",3,400,25,790.2,10.80264838,59,0.000389999999995894,215511,41.5,38.2,39.85,"red",FALSE,23,4,5167.22705875,"W",73.1487291082226
"1334","base-europar-test-2",3,400,25,547.72,7.65596926,NA,0,NA,37.9,33.9,35.9,"blue",TRUE,23,3,5174.88302801,"B",71.5415620673482
"1335","europar-test-2",3,400,25,609.2,10.05431654,93,0.000152999999997405,339193,36.9,34.9,35.9,"red",FALSE,23,4,5184.93734455,"W",60.5908912432152
"1336","base-europar-test-2",3,400,25,551.01,7.6352114,NA,0,NA,35.9,33.8,34.85,"blue",TRUE,23,3,5192.57255595,"B",72.16696056379
"1337","europar-test-2",3,400,25,715.57,10.2108434,69,9.8999999998739e-05,251584,35.9,37,36.45,"red",FALSE,23,4,5202.78339935,"W",70.0794216469915
"1338","base-europar-test-2",3,400,25,515.07,7.46057115,NA,0,NA,38.4,35.4,36.9,"blue",TRUE,23,3,5210.2439705,"B",69.0389501881502
"1339","europar-test-2",3,400,25,803,10.71230302,52,0.00138499999999908,190333,35.9,34.1,35,"red",FALSE,23,4,5220.95627352,"W",74.9605382242072
"1340","base-europar-test-2",3,400,25,528.88,7.55770762,NA,0,NA,37.9,35.4,36.65,"blue",TRUE,23,3,5228.51398114,"B",69.9788912977292
"1341","europar-test-2",3,400,25,799.49,10.61849209,79,9.39999999971519e-05,288441,37.4,34.4,35.9,"red",FALSE,23,4,5239.13247323,"W",75.2922348318103
"1342","base-europar-test-2",3,400,25,490.36,7.41679578,NA,0,NA,43.8,39.2,41.5,"blue",TRUE,23,3,5246.54926901,"B",66.1148040940127
"1343","base-europar-test-2",3,200,10,426.33,7.14773831,NA,0,NA,36.9,35.4,36.15,"blue",TRUE,23,3,5253.69700732,"B",59.6454404889929
"1344","europar-test-2",3,200,10,588.58,9.69294342,17,0.000813000000000841,31289,37.1,34.6,35.85,"red",FALSE,23,4,5263.38995074,"W",60.7225250882564
"1345","base-europar-test-2",3,200,10,435.46,7.17138086,NA,0,NA,36.6,34.4,35.5,"blue",TRUE,23,3,5270.5613316,"B",60.7219179264173
"1346","europar-test-2",3,200,10,587.83,9.66538543,15,0.00238499999999675,27876,36.4,33.4,34.9,"red",FALSE,23,4,5280.22671703,"W",60.8180609306545
"1347","base-europar-test-2",3,200,10,436,7.2023708,NA,0,NA,35.9,33.4,34.65,"blue",TRUE,23,3,5287.42908783,"B",60.5356225202957
"1348","europar-test-2",3,200,10,594.01,9.70196384,22,0.000312000000000978,40649,36.6,33.9,35.25,"red",FALSE,23,4,5297.13105167,"W",61.2257487036769
"1349","base-europar-test-2",3,200,10,361.85,7.04569239,NA,0,NA,37.1,33.9,35.5,"blue",TRUE,23,3,5304.17674406,"B",51.3576210783168
"1350","europar-test-2",3,200,10,417.93,9.28626148,29,0.00254400000000032,53231,34,32,33,"red",FALSE,23,4,5313.46300554,"W",45.0051940600751
"1351","base-europar-test-2",3,200,10,325.88,6.92784605,NA,0,NA,35,32,33.5,"blue",TRUE,23,3,5320.39085159,"B",47.0391515123232
"1352","europar-test-2",3,200,10,416.08,9.29900732,21,0.0010380000000012,38717,33,31,32,"red",FALSE,23,4,5329.68985891,"W",44.7445609710521
"1353","base-europar-test-2",3,200,10,313.3,6.91185697,NA,0,NA,34.8,31,32.9,"blue",TRUE,23,3,5336.60171588,"B",45.3279055628375
"1354","europar-test-2",3,200,10,434.87,9.30992434,40,0.000704999999996403,73322,33.5,30.5,32,"red",FALSE,23,4,5345.91164022,"W",46.7103688621384
"1355","base-europar-test-2",3,200,10,325.27,6.93561958,NA,0,NA,33,31.5,32.25,"blue",TRUE,23,3,5352.8472598,"B",46.8984776699647
"1356","europar-test-2",3,200,10,435.21,9.31886565,40,0.000549999999996942,73190,33.5,32,32.75,"red",FALSE,23,4,5362.16612545,"W",46.7020361002844
"1357","base-europar-test-2",3,200,10,315.77,6.89026096,NA,0,NA,32,31,31.5,"blue",TRUE,23,3,5369.05638641,"B",45.8284529182767
"1358","europar-test-2",3,200,10,438.29,9.30897166,37,0.00141299999999944,68023,34,31.5,32.75,"red",FALSE,23,4,5378.36535807,"W",47.0825367192062
"1359","base-europar-test-2",3,200,10,313.25,6.89977544,NA,0,NA,33,30.5,31.75,"blue",TRUE,23,3,5385.26513351,"B",45.4000282652677
"1360","europar-test-2",3,200,10,438.56,9.3182301,16,0.00214599999999621,29663,34.5,31.5,33,"red",FALSE,23,4,5394.58336361,"W",47.0647317455704
"1361","base-europar-test-2",3,200,10,316.66,6.88416435,NA,0,NA,35.9,32.2,34.05,"blue",TRUE,23,3,5401.46752796,"B",45.9983207693175
"1362","europar-test-2",3,200,10,431.46,9.27490132,22,0.00245799999999718,40465,33,31,32,"red",FALSE,23,4,5410.74242928,"W",46.519093315809
"1363","base-europar-test-2",3,200,10,313.75,6.92733518,NA,0,NA,34,31.5,32.75,"blue",TRUE,23,3,5417.66976446,"B",45.2915864250126
"1364","europar-test-2",3,200,10,429.97,9.31482609,33,0.000999000000000194,60441,33,30.5,31.75,"red",FALSE,23,4,5426.98459055,"W",46.1597453184443
